Reinitialization requiredthe ProjectPosition_origin: 0.00693161 -0.800773 1.75048
WARNING: tranlsation vectors are empty!
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: -0.143751 -0.564697 1.80268
the ProjectPosition_correc: -0.143751 -0.564697 1.80268
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.219204 -0.396539 1.71773
the ProjectPosition_correc: 0.219204 -0.396539 1.71773
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
the ProjectPosition_origin: 0.126376 -0.395514 1.77508
the ProjectPosition_correc: 0.126376 -0.395514 1.77508
 
